DATE,GENERAL_DAM_OCCUPANCY_RATE,GENERAL_DAM_RESERVED_WATER,PRCP,TAVG
2018-04-27,89.37,776,0.0,21.7
2018-04-28,89.22,775,0.0,19.5
2018-04-29,88.93,773,0.0,17.3
2018-04-30,88.72,771,0.0,16.7
2018-05-01,88.58,769,0.0,15.8
2018-05-02,88.35,767,0.0,16.3
2018-05-03,88.16,766,0.0,18.7
2018-05-04,87.96,764,0.0,17.1
2018-05-05,87.85,763,0.0,16.2
2018-05-06,87.69,762,0.5,16.0
2018-05-07,87.65,761,14.5,16.0
2018-05-08,87.67,762,6.9,17.7
2018-05-09,87.68,762,8.4,17.6
2018-05-10,87.92,764,4.8,18.7
2018-05-11,88.13,766,0.0,18.2
2018-05-12,88.22,766,14.5,16.9
2018-05-13,88.22,766,0.0,15.9
2018-05-14,88.16,766,0.0,18.7
2018-05-15,88.1,765,0.0,22.4
2018-05-16,88.03,765,0.0,24.7
2018-05-17,87.87,763,0.0,24.1
2018-05-18,87.76,762,0.8,24.7
2018-05-19,87.64,761,0.0,23.3
2018-05-20,87.52,760,0.5,21.5
2018-05-21,87.42,759,0.0,20.7
2018-05-22,87.26,758,0.0,19.6
2018-05-23,87.16,757,0.0,20.4
2018-05-24,86.81,754,0.0,21.8
2018-05-25,86.54,752,1.0,21.3
2018-05-26,86.38,750,2.5,22.1
2018-05-27,86.53,752,7.4,20.3
2018-05-28,86.49,751,0.0,20.4
2018-05-29,86.34,750,0.0,19.9
2018-05-30,86.22,749,2.5,21.3
2018-05-31,86.06,748,0.0,21.3
2018-06-01,85.88,746,0.0,22.5
2018-06-02,85.7,744,0.0,21.2
2018-06-03,85.55,743,0.0,20.6
2018-06-04,85.37,742,0.0,22.1
2018-06-05,85.13,740,0.5,23.8
2018-06-06,85.02,739,0.0,25.8
2018-06-07,84.89,737,0.0,25.7
2018-06-08,84.75,736,0.0,24.5
2018-06-09,84.52,734,0.0,25.6
2018-06-10,84.22,732,0.0,24.2
2018-06-11,83.92,729,0.3,23.9
2018-06-12,83.68,727,0.0,23.7
2018-06-13,83.37,724,0.0,22.9
2018-06-14,83.13,722,0.0,24.1
2018-06-15,82.82,719,0.0,26.6
2018-06-16,82.59,717,7.1,24.7
2018-06-17,82.47,716,4.8,21.4
2018-06-18,82.37,716,0.5,22.9
2018-06-19,82.22,714,0.8,24.7
2018-06-20,81.97,712,0.0,25.1
2018-06-21,81.76,710,0.0,24.9
2018-06-22,81.47,708,0.0,24.3
2018-06-23,81.23,706,0.0,22.9
2018-06-24,80.98,703,0.0,21.9
2018-06-25,80.64,701,0.0,22.2
2018-06-26,80.4,698,0.0,24.4
2018-06-27,80.17,696,1.5,24.0
2018-06-28,80.52,699,20.6,23.0
2018-06-29,80.36,698,1.0,23.2
2018-06-30,80.23,697,0.0,24.9
2018-07-01,80.07,696,0.0,25.2
2018-07-02,79.82,693,0.0,26.1
2018-07-03,79.7,692,0.0,27.6
2018-07-04,79.47,690,0.0,27.9
2018-07-05,79.1,687,0.0,26.8
2018-07-06,78.78,684,0.0,25.6
2018-07-07,78.56,682,0.0,26.2
2018-07-08,78.18,679,0.0,26.1
2018-07-09,77.91,677,0.0,25.8
2018-07-10,77.59,674,0.0,26.6
2018-07-11,77.26,671,0.0,26.7
2018-07-12,76.84,668,0.0,26.9
2018-07-13,76.54,665,0.0,27.2
2018-07-14,76.24,662,0.0,25.9
2018-07-15,75.98,660,0.0,26.3
2018-07-16,75.64,657,0.0,25.8
2018-07-17,75.34,654,0.0,27.3
2018-07-18,75.03,652,0.0,25.5
2018-07-19,74.79,650,0.0,25.8
2018-07-20,74.5,647,0.0,25.4
2018-07-21,74.31,645,0.0,26.8
2018-07-22,74.03,643,0.0,26.9
2018-07-23,73.73,640,0.0,28.9
2018-07-24,73.62,640,38.6,22.8
2018-07-25,73.61,639,1.0,24.9
2018-07-26,73.55,639,0.0,26.1
2018-07-27,73.37,637,0.0,25.7
2018-07-28,73.38,637,0.0,25.8
2018-07-29,73.26,636,0.0,26.4
2018-07-30,73.03,634,0.0,27.2
2018-07-31,72.81,633,0.0,27.2
2018-08-01,72.57,630,0.0,27.9
2018-08-02,72.35,628,0.0,28.3
2018-08-03,72.1,626,0.0,27.9
2018-08-04,71.8,624,0.0,28.0
2018-08-05,71.52,621,0.0,27.9
2018-08-06,71.25,619,0.0,27.3
2018-08-07,70.98,617,0.0,27.8
2018-08-08,70.67,614,0.0,27.9
2018-08-09,70.36,611,0.0,27.8
2018-08-10,70.03,608,0.0,27.3
2018-08-11,69.61,605,0.0,25.7
2018-08-12,69.14,601,0.0,25.3
2018-08-13,68.71,597,0.0,25.2
2018-08-14,68.35,594,0.0,25.5
2018-08-15,67.96,590,0.0,26.6
2018-08-16,67.55,587,0.0,26.0
2018-08-17,67.21,584,1.0,25.7
2018-08-18,66.83,581,0.3,27.1
2018-08-19,66.46,577,0.3,27.9
2018-08-20,66.05,574,0.0,26.6
2018-08-21,65.71,571,0.0,25.9
2018-08-22,65.35,568,0.0,26.5
2018-08-23,64.96,564,0.0,27.0
2018-08-24,64.62,561,0.0,26.6
2018-08-25,64.27,558,0.0,27.1
2018-08-26,63.91,555,0.0,26.1
2018-08-27,63.52,552,0.0,26.5
2018-08-28,63.24,549,0.0,27.6
2018-08-29,62.84,546,0.0,26.9
2018-08-30,62.46,543,0.0,26.2
2018-08-31,62.12,540,0.0,27.2
2018-09-01,61.71,536,0.0,27.6
2018-09-02,61.31,533,0.0,27.5
2018-09-03,60.92,529,0.0,27.1
2018-09-04,60.52,526,0.0,25.9
2018-09-05,60.12,522,0.0,25.6
2018-09-06,59.83,520,0.8,21.8
2018-09-07,59.5,517,26.7,23.4
2018-09-08,59.22,514,0.0,24.0
2018-09-09,58.96,512,0.0,23.1
2018-09-10,58.71,510,0.0,22.2
2018-09-11,58.38,507,0.0,20.2
2018-09-12,58.26,506,2.3,21.3
2018-09-13,58.13,505,0.0,22.9
2018-09-14,58.29,506,36.3,20.1
2018-09-15,58.55,509,19.8,23.3
2018-09-16,58.39,507,0.0,24.2
2018-09-18,57.97,504,0.0,21.7
2018-09-19,57.69,501,0.0,21.8
2018-09-20,57.37,498,0.0,22.6
2018-09-21,57.06,496,0.0,23.3
2018-09-22,56.77,493,0.0,22.6
2018-09-23,56.48,491,0.0,21.9
2018-09-24,56.2,488,0.0,21.7
2018-09-25,55.95,486,0.0,15.8
2018-09-26,55.65,483,1.0,14.7
2018-09-27,55.37,481,2.3,16.3
2018-09-28,55.2,479,0.3,18.7
2018-09-29,55.09,479,0.0,20.7
2018-09-30,54.93,477,0.0,19.9
2018-10-01,55.48,482,8.4,21.7
2018-10-02,55.41,481,1.0,19.9
2018-10-03,55.45,482,0.0,20.3
